id,games,name,checksum
391,"[6156, 9166, 12772, 48812, 289160]",Spy vs. Spy,e9730125-a02d-105e-0bd2-10dbaccda7b2
189,"[3866, 242806]",Cubix,db376803-ad52-4962-27f5-d9405d762cd4
206,"[3940, 243189, 243190, 243191]",Happy Feet,eb8cd473-8229-a8cb-0e0c-5cfa50cdb10d
550,"[7448, 138765, 165490, 165492]",Scott Pilgrim,c7b90dbf-20c9-87e2-4e9c-cf62fa3fa37d
129,"[3006, 20627, 200995, 248552]",Disney's Chicken Little,64f5e473-d89e-12be-d9db-19475f22d04c
4246,[230068],Fate/Extra,07bdb907-e14c-666f-32bf-2e2058771aaf
288,"[4780, 4781, 4782, 5795, 7632, 7633, 72166, 291105]",CSI,16050cf6-9a41-a222-760f-0fe672ecd5b5
4951,"[48763, 64499, 64574, 300010]",Takeshi's Castle,f4e90310-3f9b-d075-c5ba-961445483548
265,"[4615, 11077, 18916, 25988, 40534, 41375]",The Goonies,432b4931-62fb-fe64-d5d2-9e42b35aaaaf
1134,"[25795, 125012, 279435, 317137, 317138, 317139]",The Amazing World of Gumball,cbe7d3f5-9198-cc70-6a04-b7ca3f80ffc8
397,"[6304, 248734]",American Idol,22a217de-5596-8d16-63a3-709660edb0f2
844,"[22388, 22389, 22390, 40263, 103288, 109051, 320363]",Death Note,bc69c7c6-ea37-2c1b-3b4d-26509fda3c3f
690,[13476],Gobots,6419370b-322b-251e-b12f-91b61c2a04c5
1338,"[111160, 202126, 289353]",syberia,5c43c00e-f9ae-2bb8-7a1c-f328200fbee8
142,"[3142, 291010]",Dirty Harry,72c0128f-258c-78e8-5c19-372c1da85e23
600,"[2047, 5827, 5828, 25832, 47078, 66308, 141544, 270582]",Evil Dead,44ceec8e-7a9c-4600-0a80-d5141a46dbb8
472,"[7995, 259206, 264869, 275497, 275498, 275617, 287176]",El Tigre: The Adventures of Manny Rivera,5f6cc47a-7b50-ff41-090e-e2cc14bc28a1
4552,[247393],Dracula,d850c30b-80dd-83c2-0e85-e095b837c2cc
4738,[256848],Unbreakable Kimmy Schmidt,77ad3ff3-5351-29de-7a49-86946ed0648a
2060,"[18837, 42490, 53402, 198783, 198814, 208715]",Michael Jordan,92d864ca-7809-54c9-1337-3786804f9f6f
62,"[2340, 14234, 26411, 248743, 248744]",Akira,c99a2d8b-250c-3ca4-662e-c60dea29ef8b
525,"[3511, 3647, 3648, 298083, 324566]",Xena: Warrior Princess,d6da3ffe-b269-86c0-e5ff-d56525e0c526
559,[9875],Barker Bill's Cartoon Show,ca02c61b-192e-8740-8792-ebba46e5e5da
5577,"[45442, 48603, 268631, 269336, 282817, 282822, 300695]",Trans-America Ultra Quiz,84e4fd78-22dc-9eea-0530-23795b8d1d7b
602,"[11741, 11752, 77499, 231405]",Yahari Ore no Seishun Rabu Kome wa Machigatteiru.,5a8fbe07-b0b3-344f-a529-d68230bdd240
3696,"[139121, 311666]",Aggretsuko,4f3c72f2-0716-8726-c85a-0eb25cf08226
609,"[11832, 11833, 11834, 63311]",Infinite Stratos,0c357e7c-640c-ba11-2a58-b91fe727392e
4166,[222874],Raul Gil,9c810297-3bf8-bb5b-925b-997e6ce95cf4
616,"[4384, 11991, 198714, 203494]",Captain Planet and the Planeteers,7054e219-33fc-3ac1-2794-e87fd158d9c2
